TIME,LABEL,리듬꼴,총박수
0.169979167,진양,덩| | | | | | | | | | |쿵|땁| | |덕| |덕 ,18
12.318979167,진양,쿵| | | | | | | | | | |쿵|덕| |덕|덕| |덕,18
24.375729167,진양,덩| | | | | | | | | | | |덕| | |쿵| |쿵 ,18
38.036500000,중모리,덩| |덕|쿵|덕더|덕덕|쿵|쿵|덕|쿵|덕더|덕덕,12
49.536000000,중모리,덩| |덕|쿵|덕더|덕덕|쿵|쿵|덕|쿵|덕더|덕덕,12
60.716229167,중모리,덩| |덕|쿵|덕더|덕덕|쿵|쿵|덕|쿵|덕더|덕덕,12
72.116520833,중모리,덩| |덕|쿵|덕더|덕덕|쿵|쿵|덕|쿵|덕더|덕덕,12
83.438333333,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
88.430083333,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
93.121125000,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
98.305937500,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
103.300625000,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
108.288020833,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
113.336208333,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
118.299958333,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
123.070625000,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
127.899729167,중중모리,덩| |덕|쿵|덕|덕|쿵|쿵|덕|쿵| |쿵,12
132.589416667,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
135.856000000,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
137.966500000,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
140.001125000,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
141.949270833,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
143.983291667,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
145.941479167,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
147.900625000,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
149.865458333,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
151.793104167,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
153.766687500,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
155.769041667,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
157.901291667,자진모리,덩| |덕|쿵|덕| |쿵| | 덕|쿵|덕| ,12
159.867500000,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
161.234333333,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
162.576000000,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
163.856312500,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
165.147645833,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
166.419166667,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
167.698770833,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
168.949250000,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
170.233875000,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
171.622895833,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
173.001041667,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
174.335125000,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
175.733583333,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
177.107583333,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
178.453979167,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
179.800895833,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
181.107729167,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
182.498270833,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
183.920000000,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
185.237333333,휘모리,덩| |덕|덕|쿵|덕|쿵|,8
