onset_time,label,beat_index,note,jangdan_start,beat_duration
2.317396,진양,0,덩,2.317395833,0.594184
8.85342,진양,11,덕,2.317395833,0.594184
9.447604,진양,12,땁,2.317395833,0.594184
11.230156,진양,15,덩,2.317395833,0.594184
12.418524,진양,17,쿵,2.317395833,0.594184
13.012708,진양,0,쿵,13.01270833,0.621243
19.846382,진양,11,쿵,13.01270833,0.621243
20.467625,진양,12,덕,13.01270833,0.621243
21.710111,진양,14,덕,13.01270833,0.621243
22.331354,진양,15,덕,13.01270833,0.621243
23.57384,진양,17,덕,13.01270833,0.621243
24.195083,진양,0,덩,24.19508333,0.718959
32.822597,진양,12,덕,24.19508333,0.718959
34.979476,진양,15,쿵,24.19508333,0.718959
36.417395,진양,17,쿵,24.19508333,0.718959
37.136354,중모리,0,덩,37.13635417,0.941406
39.019167,중모리,2,덕,37.13635417,0.941406
39.960573,중모리,3,쿵,37.13635417,0.941406
40.901979,중모리,4,덕더,37.13635417,0.941406
41.843385,중모리,5,덕덕,37.13635417,0.941406
42.784792,중모리,6,쿵,37.13635417,0.941406
43.726198,중모리,7,쿵,37.13635417,0.941406
44.667604,중모리,8,덕,37.13635417,0.941406
45.60901,중모리,9,쿵,37.13635417,0.941406
46.550417,중모리,10,덕더,37.13635417,0.941406
47.491823,중모리,11,덕덕,37.13635417,0.941406
48.433229,중모리,0,덩,48.43322917,0.914467
50.262163,중모리,2,덕,48.43322917,0.914467
51.17663,중모리,3,쿵,48.43322917,0.914467
52.091097,중모리,4,덕더,48.43322917,0.914467
53.005564,중모리,5,덕덕,48.43322917,0.914467
53.920031,중모리,6,쿵,48.43322917,0.914467
54.834498,중모리,7,쿵,48.43322917,0.914467
55.748965,중모리,8,덕,48.43322917,0.914467
56.663432,중모리,9,쿵,48.43322917,0.914467
57.577899,중모리,10,덕더,48.43322917,0.914467
58.492366,중모리,11,덕덕,48.43322917,0.914467
59.406833,중모리,0,덩,59.40683333,0.923587
61.254007,중모리,2,덕,59.40683333,0.923587
62.177594,중모리,3,쿵,59.40683333,0.923587
63.101181,중모리,4,덕더,59.40683333,0.923587
64.024767,중모리,5,덕덕,59.40683333,0.923587
64.948354,중모리,6,쿵,59.40683333,0.923587
65.871941,중모리,7,쿵,59.40683333,0.923587
66.795528,중모리,8,덕,59.40683333,0.923587
67.719115,중모리,9,쿵,59.40683333,0.923587
68.642701,중모리,10,덕더,59.40683333,0.923587
69.566288,중모리,11,덕덕,59.40683333,0.923587
70.489875,중모리,0,덩,70.489875,0.915958
72.321792,중모리,2,덕,70.489875,0.915958
73.23775,중모리,3,쿵,70.489875,0.915958
74.153708,중모리,4,덕더,70.489875,0.915958
75.069667,중모리,5,덕덕,70.489875,0.915958
75.985625,중모리,6,쿵,70.489875,0.915958
76.901583,중모리,7,쿵,70.489875,0.915958
77.817542,중모리,8,덕,70.489875,0.915958
78.7335,중모리,9,쿵,70.489875,0.915958
79.649458,중모리,10,덕더,70.489875,0.915958
80.565417,중모리,11,덕덕,70.489875,0.915958
81.481375,중중모리,0,덩,81.481375,0.407557
82.29649,중중모리,2,덕,81.481375,0.407557
82.704047,중중모리,3,쿵,81.481375,0.407557
83.111604,중중모리,4,덕,81.481375,0.407557
83.519161,중중모리,5,덕,81.481375,0.407557
83.926719,중중모리,6,쿵,81.481375,0.407557
84.334276,중중모리,7,쿵,81.481375,0.407557
84.741833,중중모리,8,덕,81.481375,0.407557
85.149391,중중모리,9,쿵,81.481375,0.407557
85.964505,중중모리,11,쿵,81.481375,0.407557
86.372062,중중모리,0,덩,86.3720625,0.377472
87.127007,중중모리,2,덕,86.3720625,0.377472
87.504479,중중모리,3,쿵,86.3720625,0.377472
87.881951,중중모리,4,덕,86.3720625,0.377472
88.259424,중중모리,5,덕,86.3720625,0.377472
88.636896,중중모리,6,쿵,86.3720625,0.377472
89.014368,중중모리,7,쿵,86.3720625,0.377472
89.39184,중중모리,8,덕,86.3720625,0.377472
89.769313,중중모리,9,쿵,86.3720625,0.377472
90.524257,중중모리,11,쿵,86.3720625,0.377472
90.901729,중중모리,0,덩,90.90172917,0.410714
91.723156,중중모리,2,덕,90.90172917,0.410714
92.13387,중중모리,3,쿵,90.90172917,0.410714
92.544583,중중모리,4,덕,90.90172917,0.410714
92.955297,중중모리,5,덕,90.90172917,0.410714
93.36601,중중모리,6,쿵,90.90172917,0.410714
93.776724,중중모리,7,쿵,90.90172917,0.410714
94.187438,중중모리,8,덕,90.90172917,0.410714
94.598151,중중모리,9,쿵,90.90172917,0.410714
95.419578,중중모리,11,쿵,90.90172917,0.410714
95.830292,중중모리,0,덩,95.83029167,0.403979
96.63825,중중모리,2,덕,95.83029167,0.403979
97.042229,중중모리,3,쿵,95.83029167,0.403979
97.446208,중중모리,4,덕,95.83029167,0.403979
97.850188,중중모리,5,덕,95.83029167,0.403979
98.254167,중중모리,6,쿵,95.83029167,0.403979
98.658146,중중모리,7,쿵,95.83029167,0.403979
99.062125,중중모리,8,덕,95.83029167,0.403979
99.466104,중중모리,9,쿵,95.83029167,0.403979
100.274063,중중모리,11,쿵,95.83029167,0.403979
100.678042,중중모리,0,덩,100.6780417,0.396429
101.470899,중중모리,2,덕,100.6780417,0.396429
101.867328,중중모리,3,쿵,100.6780417,0.396429
102.263757,중중모리,4,덕,100.6780417,0.396429
102.660186,중중모리,5,덕,100.6780417,0.396429
103.056615,중중모리,6,쿵,100.6780417,0.396429
103.453043,중중모리,7,쿵,100.6780417,0.396429
103.849472,중중모리,8,덕,100.6780417,0.396429
104.245901,중중모리,9,쿵,100.6780417,0.396429
105.038759,중중모리,11,쿵,100.6780417,0.396429
105.435187,중중모리,0,덩,105.4351875,0.408212
106.251611,중중모리,2,덕,105.4351875,0.408212
106.659823,중중모리,3,쿵,105.4351875,0.408212
107.068035,중중모리,4,덕,105.4351875,0.408212
107.476247,중중모리,5,덕,105.4351875,0.408212
107.884458,중중모리,6,쿵,105.4351875,0.408212
108.29267,중중모리,7,쿵,105.4351875,0.408212
108.700882,중중모리,8,덕,105.4351875,0.408212
109.109094,중중모리,9,쿵,105.4351875,0.408212
109.925517,중중모리,11,쿵,105.4351875,0.408212
110.333729,중중모리,0,덩,110.3337292,0.398248
111.130226,중중모리,2,덕,110.3337292,0.398248
111.528474,중중모리,3,쿵,110.3337292,0.398248
111.926722,중중모리,4,덕,110.3337292,0.398248
112.32497,중중모리,5,덕,110.3337292,0.398248
112.723219,중중모리,6,쿵,110.3337292,0.398248
113.121467,중중모리,7,쿵,110.3337292,0.398248
113.519715,중중모리,8,덕,110.3337292,0.398248
113.917964,중중모리,9,쿵,110.3337292,0.398248
114.71446,중중모리,11,쿵,110.3337292,0.398248
115.112708,중중모리,0,덩,115.1127083,0.387451
115.887611,중중모리,2,덕,115.1127083,0.387451
116.275062,중중모리,3,쿵,115.1127083,0.387451
116.662514,중중모리,4,덕,115.1127083,0.387451
117.049965,중중모리,5,덕,115.1127083,0.387451
117.437417,중중모리,6,쿵,115.1127083,0.387451
117.824868,중중모리,7,쿵,115.1127083,0.387451
118.212319,중중모리,8,덕,115.1127083,0.387451
118.599771,중중모리,9,쿵,115.1127083,0.387451
119.374674,중중모리,11,쿵,115.1127083,0.387451
119.762125,중중모리,0,덩,119.762125,0.394243
120.550611,중중모리,2,덕,119.762125,0.394243
120.944854,중중모리,3,쿵,119.762125,0.394243
121.339097,중중모리,4,덕,119.762125,0.394243
121.73334,중중모리,5,덕,119.762125,0.394243
122.127583,중중모리,6,쿵,119.762125,0.394243
122.521826,중중모리,7,쿵,119.762125,0.394243
122.916069,중중모리,8,덕,119.762125,0.394243
123.310313,중중모리,9,쿵,119.762125,0.394243
124.098799,중중모리,11,쿵,119.762125,0.394243
124.493042,중중모리,0,덩,124.4930417,0.378352
125.249747,중중모리,2,덕,124.4930417,0.378352
125.628099,중중모리,3,쿵,124.4930417,0.378352
126.006451,중중모리,4,덕,124.4930417,0.378352
126.384804,중중모리,5,덕,124.4930417,0.378352
126.763156,중중모리,6,쿵,124.4930417,0.378352
127.141509,중중모리,7,쿵,124.4930417,0.378352
127.519861,중중모리,8,덕,124.4930417,0.378352
127.898214,중중모리,9,쿵,124.4930417,0.378352
128.654918,중중모리,11,쿵,124.4930417,0.378352
129.033271,자진모리,0,덩,129.0332708,0.268889
129.571049,자진모리,2,덕,129.0332708,0.268889
129.839937,자진모리,3,쿵,129.0332708,0.268889
130.108826,자진모리,4,덕,129.0332708,0.268889
130.646604,자진모리,6,쿵,129.0332708,0.268889
131.184382,자진모리,8,덕,129.0332708,0.268889
131.453271,자진모리,9,쿵,129.0332708,0.268889
131.72216,자진모리,10,덕,129.0332708,0.268889
132.259938,자진모리,0,덩,132.2599375,0.178535
132.617007,자진모리,2,덕,132.2599375,0.178535
132.795542,자진모리,3,쿵,132.2599375,0.178535
132.974076,자진모리,4,덕,132.2599375,0.178535
133.331146,자진모리,6,쿵,132.2599375,0.178535
133.688215,자진모리,8,덕,132.2599375,0.178535
133.86675,자진모리,9,쿵,132.2599375,0.178535
134.045285,자진모리,10,덕,132.2599375,0.178535
134.402354,자진모리,0,덩,134.4023542,0.161207
134.724767,자진모리,2,덕,134.4023542,0.161207
134.885974,자진모리,3,쿵,134.4023542,0.161207
135.047181,자진모리,4,덕,134.4023542,0.161207
135.369594,자진모리,6,쿵,134.4023542,0.161207
135.692007,자진모리,8,덕,134.4023542,0.161207
135.853214,자진모리,9,쿵,134.4023542,0.161207
136.01442,자진모리,10,덕,134.4023542,0.161207
136.336833,자진모리,0,덩,136.3368333,0.164814
136.666462,자진모리,2,덕,136.3368333,0.164814
136.831276,자진모리,3,쿵,136.3368333,0.164814
136.99609,자진모리,4,덕,136.3368333,0.164814
137.325719,자진모리,6,쿵,136.3368333,0.164814
137.655347,자진모리,8,덕,136.3368333,0.164814
137.820161,자진모리,9,쿵,136.3368333,0.164814
137.984976,자진모리,10,덕,136.3368333,0.164814
138.314604,자진모리,0,덩,138.3146042,0.16454
138.643684,자진모리,2,덕,138.3146042,0.16454
138.808224,자진모리,3,쿵,138.3146042,0.16454
138.972764,자진모리,4,덕,138.3146042,0.16454
139.301844,자진모리,6,쿵,138.3146042,0.16454
139.630924,자진모리,8,덕,138.3146042,0.16454
139.795464,자진모리,9,쿵,138.3146042,0.16454
139.960003,자진모리,10,덕,138.3146042,0.16454
140.289083,자진모리,0,덩,140.2890833,0.161778
140.612639,자진모리,2,덕,140.2890833,0.161778
140.774417,자진모리,3,쿵,140.2890833,0.161778
140.936194,자진모리,4,덕,140.2890833,0.161778
141.25975,자진모리,6,쿵,140.2890833,0.161778
141.583306,자진모리,8,덕,140.2890833,0.161778
141.745083,자진모리,9,쿵,140.2890833,0.161778
141.906861,자진모리,10,덕,140.2890833,0.161778
142.230417,자진모리,0,덩,142.2304167,0.16346
142.557337,자진모리,2,덕,142.2304167,0.16346
142.720797,자진모리,3,쿵,142.2304167,0.16346
142.884257,자진모리,4,덕,142.2304167,0.16346
143.211177,자진모리,6,쿵,142.2304167,0.16346
143.538097,자진모리,8,덕,142.2304167,0.16346
143.701557,자진모리,9,쿵,142.2304167,0.16346
143.865017,자진모리,10,덕,142.2304167,0.16346
144.191937,자진모리,0,덩,144.1919375,0.160257
144.512451,자진모리,2,덕,144.1919375,0.160257
144.672708,자진모리,3,쿵,144.1919375,0.160257
144.832965,자진모리,4,덕,144.1919375,0.160257
145.153479,자진모리,6,쿵,144.1919375,0.160257
145.473993,자진모리,8,덕,144.1919375,0.160257
145.63425,자진모리,9,쿵,144.1919375,0.160257
145.794507,자진모리,10,덕,144.1919375,0.160257
146.115021,자진모리,0,덩,146.1150208,0.160672
146.436365,자진모리,2,덕,146.1150208,0.160672
146.597036,자진모리,3,쿵,146.1150208,0.160672
146.757708,자진모리,4,덕,146.1150208,0.160672
147.079052,자진모리,6,쿵,146.1150208,0.160672
147.400396,자진모리,8,덕,146.1150208,0.160672
147.561068,자진모리,9,쿵,146.1150208,0.160672
147.72174,자진모리,10,덕,146.1150208,0.160672
148.043083,자진모리,0,덩,148.0430833,0.160806
148.364694,자진모리,2,덕,148.0430833,0.160806
148.5255,자진모리,3,쿵,148.0430833,0.160806
148.686306,자진모리,4,덕,148.0430833,0.160806
149.007917,자진모리,6,쿵,148.0430833,0.160806
149.329528,자진모리,8,덕,148.0430833,0.160806
149.490333,자진모리,9,쿵,148.0430833,0.160806
149.651139,자진모리,10,덕,148.0430833,0.160806
149.97275,자진모리,0,덩,149.97275,0.162149
150.297049,자진모리,2,덕,149.97275,0.162149
150.459198,자진모리,3,쿵,149.97275,0.162149
150.621347,자진모리,4,덕,149.97275,0.162149
150.945646,자진모리,6,쿵,149.97275,0.162149
151.269944,자진모리,8,덕,149.97275,0.162149
151.432094,자진모리,9,쿵,149.97275,0.162149
151.594243,자진모리,10,덕,149.97275,0.162149
151.918542,자진모리,0,덩,151.9185417,0.178373
152.275288,자진모리,2,덕,151.9185417,0.178373
152.453661,자진모리,3,쿵,151.9185417,0.178373
152.632035,자진모리,4,덕,151.9185417,0.178373
152.988781,자진모리,6,쿵,151.9185417,0.178373
153.345528,자진모리,8,덕,151.9185417,0.178373
153.523901,자진모리,9,쿵,151.9185417,0.178373
153.702274,자진모리,10,덕,151.9185417,0.178373
154.059021,자진모리,0,덩,154.0590208,0.171163
154.401347,자진모리,2,덕,154.0590208,0.171163
154.57251,자진모리,3,쿵,154.0590208,0.171163
154.743674,자진모리,4,덕,154.0590208,0.171163
155.086,자진모리,6,쿵,154.0590208,0.171163
155.428326,자진모리,8,덕,154.0590208,0.171163
155.59949,자진모리,9,쿵,154.0590208,0.171163
155.770653,자진모리,10,덕,154.0590208,0.171163
156.112979,휘모리,0,덩,156.1129792,0.18007
156.47312,휘모리,2,덕,156.1129792,0.18007
156.65319,휘모리,3,덕,156.1129792,0.18007
156.83326,휘모리,4,쿵,156.1129792,0.18007
157.013331,휘모리,5,덕,156.1129792,0.18007
157.193401,휘모리,6,쿵,156.1129792,0.18007
157.553542,휘모리,0,덩,157.5535417,0.166904
157.887349,휘모리,2,덕,157.5535417,0.166904
158.054253,휘모리,3,덕,157.5535417,0.166904
158.221156,휘모리,4,쿵,157.5535417,0.166904
158.38806,휘모리,5,덕,157.5535417,0.166904
158.554964,휘모리,6,쿵,157.5535417,0.166904
158.888771,휘모리,0,덩,158.8887708,0.161719
159.212208,휘모리,2,덕,158.8887708,0.161719
159.373927,휘모리,3,덕,158.8887708,0.161719
159.535646,휘모리,4,쿵,158.8887708,0.161719
159.697365,휘모리,5,덕,158.8887708,0.161719
159.859083,휘모리,6,쿵,158.8887708,0.161719
160.182521,휘모리,0,덩,160.1825208,0.164333
