time,frequency,confidence
0.000,503.436,0.086819
0.010,505.908,0.217319
0.020,507.398,0.271680
0.030,503.079,0.108346
0.040,504.414,0.233111
0.050,505.502,0.123598
0.060,503.463,0.105122
0.070,503.403,0.396456
0.080,503.569,0.355593
0.090,503.239,0.213164
0.100,502.801,0.364899
0.110,508.045,0.081988
0.120,506.028,0.068934
0.130,464.660,0.258208
0.140,420.982,0.067443
0.150,377.318,0.096816
0.160,350.940,0.124398
0.170,313.109,0.197903
0.180,274.484,0.074541
0.190,239.356,0.237285
0.200,212.657,0.452773
0.210,210.069,0.811061
0.220,209.795,0.889055
0.230,209.390,0.919099
0.240,209.182,0.934452
0.250,208.410,0.953810
0.260,207.734,0.953197
0.270,207.404,0.941280
0.280,207.003,0.955817
0.290,206.612,0.944546
0.300,206.287,0.928541
0.310,206.708,0.940700
0.320,207.300,0.935889
0.330,207.370,0.921041
0.340,207.421,0.885507
0.350,207.223,0.889090
0.360,207.107,0.893315
0.370,207.045,0.846759
0.380,207.232,0.636353
0.390,207.142,0.770224
0.400,207.250,0.631396
0.410,207.490,0.795464
0.420,228.856,0.861989
0.430,264.752,0.892760
0.440,299.789,0.876890
0.450,331.998,0.697752
0.460,372.814,0.650272
0.470,415.622,0.690884
0.480,415.533,0.717930
0.490,415.313,0.803660
0.500,415.297,0.814557
0.510,415.499,0.863481
0.520,415.465,0.870027
0.530,415.664,0.889213
0.540,415.594,0.896167
0.550,415.635,0.913996
0.560,415.999,0.916385
0.570,416.393,0.914134
0.580,416.231,0.906258
0.590,416.306,0.889664
0.600,416.247,0.865596
0.610,415.757,0.880066
0.620,415.566,0.871352
0.630,415.985,0.875395
0.640,416.060,0.856007
0.650,416.162,0.834082
0.660,416.080,0.818095
0.670,415.799,0.819529
0.680,415.042,0.834079
0.690,414.871,0.857300
0.700,415.016,0.827992
0.710,414.733,0.814562
0.720,415.150,0.795421
0.730,415.556,0.792657
0.740,415.169,0.834153
0.750,415.523,0.839187
0.760,415.960,0.835328
0.770,416.233,0.790136
0.780,415.799,0.817228
0.790,416.465,0.718614
0.800,416.451,0.632483
0.810,415.697,0.549567
0.820,415.772,0.545081
0.830,416.152,0.632416
0.840,416.106,0.699724
0.850,415.788,0.703928
0.860,415.935,0.509815
0.870,415.852,0.434020
0.880,415.716,0.378737
0.890,415.889,0.444080
0.900,415.696,0.462381
0.910,415.398,0.615276
0.920,415.587,0.504978
